model_name,class_id,class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,total_support
controlled_stats_mlp,3,Excessive Lean,0.8841009976426644,0.1368147580864349,0.6916666666666667,0.3074311124282786,0.7149652856162004,0.22950465514181023,360
controlled_stats_mlp,4,Partial Squat,0.9824121128468956,0.03670061668812725,0.9555555555555555,0.06431020501550125,0.9668625826192174,0.034976284144610646,360
feature_linear_svm_v1,0,Correct,0.7434640661271097,0.24544069243183822,0.6444444444444444,0.2510471895043334,0.6620504556451193,0.23979540325084203,360
feature_linear_svm_v1,1,Knee Valgus,0.8208747466060696,0.19000914830356228,0.9472222222222223,0.07723021541365468,0.8624834725422286,0.10961806468145502,360
feature_linear_svm_v1,2,Butt Wink,0.7702717024590258,0.20113407083964674,0.6694444444444445,0.2824195504371746,0.6617822424892502,0.1675572687417159,360
feature_linear_svm_v1,3,Excessive Lean,0.6985809714976381,0.22360979810337328,0.6055555555555556,0.39366119417904166,0.5799837240659473,0.3107537511156097,360
feature_linear_svm_v1,4,Partial Squat,0.8719380156880158,0.17142880171925426,0.8638888888888888,0.2066972796920626,0.8403346963974843,0.17199335802649038,360
feature_random_forest_v1,0,Correct,0.626563746591738,0.32464816496473586,0.675,0.343288832067433,0.621770128979823,0.2994409037354687,360
feature_random_forest_v1,1,Knee Valgus,0.8443539859088535,0.22214859041910628,0.9611111111111111,0.0858868046318906,0.8760650182806011,0.1502382444366363,360
feature_random_forest_v1,2,Butt Wink,0.8829665806745604,0.14362557747108845,0.7861111111111111,0.2271841858954704,0.7947843240107706,0.15165210182423938,360
feature_random_forest_v1,3,Excessive Lean,0.8130879989575642,0.19384812712552,0.65,0.32015621187164245,0.6847691300101206,0.2587247607568341,360
feature_random_forest_v1,4,Partial Squat,0.9437092613293987,0.07474423215927628,0.9555555555555555,0.07617394000445603,0.9452363611096407,0.04628722307094322,360
lee_style_cnn_lstm_2d_v1,0,Correct,0.6017695373496027,0.345999964072147,0.5916666666666667,0.36180488910154013,0.5356912217846123,0.2902113999986348,360
lee_style_cnn_lstm_2d_v1,1,Knee Valgus,0.852382852063159,0.25357375184265635,0.8916666666666667,0.16520189667999172,0.8295130709449338,0.1898970349124661,360
lee_style_cnn_lstm_2d_v1,2,Butt Wink,0.7519455280033196,0.30072001310373037,0.5222222222222223,0.3594835115297062,0.5098238009538157,0.23456374618910855,360
lee_style_cnn_lstm_2d_v1,3,Excessive Lean,0.5515306904775595,0.35771218074374744,0.4861111111111111,0.41660184680991524,0.46074950339347925,0.3396794232861467,360
lee_style_cnn_lstm_2d_v1,4,Partial Squat,0.8148501164360051,0.2573067743701755,0.8194444444444444,0.13858299648073802,0.7986920516351483,0.18620965342248003,360
rescnn_bigru_attention_lite_v1,0,Correct,0.6642770005088845,0.35480541121379505,0.688888888888889,0.3599982853182759,0.6582132377573015,0.33823962798364404,360
rescnn_bigru_attention_lite_v1,1,Knee Valgus,0.9171146829394912,0.15210944245688682,0.8972222222222221,0.1806410054209901,0.8968543544366985,0.15297058337354755,360
rescnn_bigru_attention_lite_v1,2,Butt Wink,0.8560729394062726,0.198641646406083,0.7916666666666666,0.225,0.7743020660678499,0.1415568569053235,360
