reference_model,comparison_model,metric,mean_difference,std_difference,ci_low,ci_high,n_pairs
feature_xgboost_v1,controlled_all_channel_1d_cnn_small,macro_f1,0.0,0.0,0.0,0.0,0
feature_xgboost_v1,controlled_flatten_mlp,macro_f1,0.0,0.0,0.0,0.0,0
feature_xgboost_v1,controlled_shared_1d,macro_f1,0.0,0.0,0.0,0.0,0
feature_xgboost_v1,controlled_shared_1d_identity,macro_f1,0.0,0.0,0.0,0.0,0
feature_xgboost_v1,controlled_shared_1d_residual,macro_f1,0.0,0.0,0.0,0.0,0
feature_xgboost_v1,controlled_shared_1d_residual_identity,macro_f1,0.0,0.0,0.0,0.0,0
feature_xgboost_v1,controlled_stats_mlp,macro_f1,0.0,0.0,0.0,0.0,0
feature_xgboost_v1,feature_linear_svm_v1,macro_f1,0.0,0.0,0.0,0.0,0
feature_xgboost_v1,feature_random_forest_v1,macro_f1,0.0,0.0,0.0,0.0,0
feature_xgboost_v1,lee_style_cnn_lstm_2d_v1,macro_f1,0.0,0.0,0.0,0.0,0
feature_xgboost_v1,rescnn_bigru_attention_lite_v1,macro_f1,0.0,0.0,0.0,0.0,0
rescnn_bigru_attention_lite_v1,controlled_2d_cnn,macro_f1,-0.3239560048113775,0.17389570285619876,-0.4022409312315795,-0.24147617740859684,18
rescnn_bigru_attention_lite_v1,controlled_all_channel_1d_cnn,macro_f1,0.03026370631194156,0.14500274107573918,-0.03514961655332197,0.09687223544170397,18
rescnn_bigru_attention_lite_v1,controlled_all_channel_1d_cnn_small,macro_f1,-0.012976298326039172,0.13986631044594788,-0.08038076568573173,0.0479952505937171,18
rescnn_bigru_attention_lite_v1,controlled_flatten_mlp,macro_f1,-0.06454055652232214,0.15316283515313095,-0.13721319958430403,0.00573592453235476,18
rescnn_bigru_attention_lite_v1,controlled_shared_1d,macro_f1,-0.4885420376033397,0.14689667799925493,-0.5595160185028334,-0.42479577210782266,18
rescnn_bigru_attention_lite_v1,controlled_shared_1d_identity,macro_f1,-0.2509252769083288,0.2083739209461345,-0.3470110284316997,-0.15249012105834386,18
rescnn_bigru_attention_lite_v1,controlled_shared_1d_residual,macro_f1,0.0313007983956865,0.17446184855160954,-0.04606757795130423,0.11448862081752886,18
rescnn_bigru_attention_lite_v1,controlled_shared_1d_residual_identity,macro_f1,0.028188390155810254,0.16011950954084184,-0.04358712142079038,0.10254763740008106,18
rescnn_bigru_attention_lite_v1,controlled_stats_mlp,macro_f1,0.048253156489088934,0.17636413090510292,-0.03149768698729502,0.13065987058483608,18
rescnn_bigru_attention_lite_v1,feature_linear_svm_v1,macro_f1,-0.04780389631150009,0.1241169465276006,-0.1054354503665297,0.009344021093069345,18
rescnn_bigru_attention_lite_v1,feature_random_forest_v1,macro_f1,0.015394177938685145,0.1320240116392465,-0.04504723907056876,0.07612274509061207,18
rescnn_bigru_attention_lite_v1,lee_style_cnn_lstm_2d_v1,macro_f1,-0.1422368847971082,0.16046749750372885,-0.21562714004358843,-0.06760311488915906,18
