model_name,seed,fold_id,test_subject,feature_index,feature_name,channel_name,statistic,importance
feature_random_forest_v1,42,2,2,22,s0_gy_std,s0_gy,std,0.008073396933470844
feature_random_forest_v1,42,2,2,23,s0_gz_std,s0_gz,std,0.002394575175161463
feature_random_forest_v1,42,2,2,24,s1_ax_std,s1_ax,std,0.05356470693202243
feature_random_forest_v1,42,2,2,25,s1_ay_std,s1_ay,std,0.0028113098215011654
feature_random_forest_v1,42,2,2,26,s1_az_std,s1_az,std,0.009782744634511153
feature_random_forest_v1,42,2,2,27,s1_gx_std,s1_gx,std,0.001906935065189935
feature_random_forest_v1,42,2,2,28,s1_gy_std,s1_gy,std,0.0033169515183131357
feature_random_forest_v1,42,2,2,29,s1_gz_std,s1_gz,std,0.0028142537446731396
feature_random_forest_v1,42,2,2,30,s2_ax_std,s2_ax,std,0.004167983065514201
feature_random_forest_v1,42,2,2,31,s2_ay_std,s2_ay,std,0.0013020655010335621
feature_random_forest_v1,42,2,2,32,s2_az_std,s2_az,std,0.010411111350103449
feature_random_forest_v1,42,2,2,33,s2_gx_std,s2_gx,std,0.0020193195977995983
feature_random_forest_v1,42,2,2,34,s2_gy_std,s2_gy,std,0.013231433355856574
feature_random_forest_v1,42,2,2,35,s2_gz_std,s2_gz,std,0.0031536790394442503
feature_random_forest_v1,42,2,2,36,s0_ax_min,s0_ax,min,0.00456275400309739
feature_random_forest_v1,42,2,2,37,s0_ay_min,s0_ay,min,0.0012081230882826388
feature_random_forest_v1,42,2,2,38,s0_az_min,s0_az,min,0.02210842935311018
feature_random_forest_v1,42,2,2,39,s0_gx_min,s0_gx,min,0.000983553759184967
feature_random_forest_v1,42,2,2,40,s0_gy_min,s0_gy,min,0.007147888112155804
feature_random_forest_v1,42,2,2,41,s0_gz_min,s0_gz,min,0.0018362009811347315
feature_random_forest_v1,42,2,2,42,s1_ax_min,s1_ax,min,0.0013257419099506182
feature_random_forest_v1,42,2,2,43,s1_ay_min,s1_ay,min,0.0029520203567748944
feature_random_forest_v1,42,2,2,44,s1_az_min,s1_az,min,0.0008877223068540575
feature_random_forest_v1,42,2,2,45,s1_gx_min,s1_gx,min,0.0018586386840845966
feature_random_forest_v1,42,2,2,46,s1_gy_min,s1_gy,min,0.0028431566978620766
feature_random_forest_v1,42,2,2,47,s1_gz_min,s1_gz,min,0.0065203929892228805
feature_random_forest_v1,42,2,2,48,s2_ax_min,s2_ax,min,0.002558089727758815
feature_random_forest_v1,42,2,2,49,s2_ay_min,s2_ay,min,0.0009459778021632767
feature_random_forest_v1,42,2,2,50,s2_az_min,s2_az,min,0.00178707366726864
feature_random_forest_v1,42,2,2,51,s2_gx_min,s2_gx,min,0.0006798895532484073
feature_random_forest_v1,42,2,2,52,s2_gy_min,s2_gy,min,0.0028799539040613603
feature_random_forest_v1,42,2,2,53,s2_gz_min,s2_gz,min,0.0011474883219463404
feature_random_forest_v1,42,2,2,54,s0_ax_max,s0_ax,max,0.0017988241840408894
feature_random_forest_v1,42,2,2,55,s0_ay_max,s0_ay,max,0.0031608843525346665
feature_random_forest_v1,42,2,2,56,s0_az_max,s0_az,max,0.004703210697626505
feature_random_forest_v1,42,2,2,57,s0_gx_max,s0_gx,max,0.0021631659888740294
feature_random_forest_v1,42,2,2,58,s0_gy_max,s0_gy,max,0.0032535034677421137
feature_random_forest_v1,42,2,2,59,s0_gz_max,s0_gz,max,0.0016290420640297895
feature_random_forest_v1,42,2,2,60,s1_ax_max,s1_ax,max,0.04455310765151266
feature_random_forest_v1,42,2,2,61,s1_ay_max,s1_ay,max,0.001403803922108501
