subject_id,channel_index,channel_name,sensor_name,modality_name,axis_name,mean_attention_weight,std_attention_weight,min_attention_weight,max_attention_weight,n
5,11,s1_gz,s1_right_thigh,gyro,z,0.0010675105132637933,0.0010654407481064812,3.8057438359828666e-05,0.0060758753679692745,300
5,17,s2_gz,s2_right_calf,gyro,z,0.0008253163879392863,0.0010987830464378318,5.019176023779437e-05,0.006521300878375769,300
6,6,s1_ax,s1_right_thigh,acc,x,0.3704960471872861,0.36307769090625974,0.003498147241771221,0.9524449110031128,300
6,1,s0_ay,s0_lower_back,acc,y,0.25100910785025915,0.31536484866559933,0.0009477861458435655,0.8062959313392639,300
6,0,s0_ax,s0_lower_back,acc,x,0.12807159448391758,0.15377219528574168,0.000950683606788516,0.9031070470809937,300
6,8,s1_az,s1_right_thigh,acc,z,0.0726820569698854,0.11955064610127876,0.0009802173590287566,0.5302248001098633,300
6,13,s2_ay,s2_right_calf,acc,y,0.05932544986436066,0.11202354548440636,0.0004518501809798181,0.5841559767723083,300
6,12,s2_ax,s2_right_calf,acc,x,0.04868519462121185,0.11668528328699522,0.0005601082229986787,0.7959028482437134,300
6,7,s1_ay,s1_right_thigh,acc,y,0.02388535006000893,0.04219257127262466,0.00030875453376211226,0.45053672790527344,300
6,2,s0_az,s0_lower_back,acc,z,0.009259746070529217,0.008700805626341639,0.00011134026135550812,0.07118271291255951,300
6,14,s2_az,s2_right_calf,acc,z,0.006838120096072089,0.009898369506683472,0.00028978040791116655,0.04629423841834068,300
6,9,s1_gx,s1_right_thigh,gyro,x,0.005233185964122337,0.005169910602598708,0.00014730858674738556,0.040785517543554306,300
6,3,s0_gx,s0_lower_back,gyro,x,0.003865297945085331,0.0031892101725615463,9.321023389929906e-05,0.016505856066942215,300
6,10,s1_gy,s1_right_thigh,gyro,y,0.0036932558238428705,0.003945689640986202,0.00010060932254418731,0.02727412059903145,300
6,11,s1_gz,s1_right_thigh,gyro,z,0.0032124462117644726,0.00378161822285855,9.739047527546063e-05,0.03056519851088524,300
6,15,s2_gx,s2_right_calf,gyro,x,0.003001679939770838,0.003917179342225824,0.00011286164226476103,0.020022662356495857,300
6,5,s0_gz,s0_lower_back,gyro,z,0.002949161994207922,0.00291241413886681,9.036726987687871e-05,0.015616903081536293,300
6,4,s0_gy,s0_lower_back,gyro,y,0.0028844285179123593,0.002876715528451746,8.918874664232135e-05,0.015319745056331158,300
6,17,s2_gz,s2_right_calf,gyro,z,0.0024709925002874417,0.0034691730785710337,0.00010091970762005076,0.01770869642496109,300
6,16,s2_gy,s2_right_calf,gyro,y,0.0024368852367964186,0.0032995453806088323,9.307628351962194e-05,0.015517901629209518,300
