class_id,channel_index,channel_name,sensor_name,modality_name,axis_name,mean_attention_weight,std_attention_weight,min_attention_weight,max_attention_weight,n
2,11,s1_gz,s1_right_thigh,gyro,z,0.004317944518020846,0.006692723042273284,5.0822549383156e-05,0.04585438594222069,360
2,4,s0_gy,s0_lower_back,gyro,y,0.004004023976924348,0.004531213312655696,5.2398328989511356e-05,0.018321990966796875,360
2,3,s0_gx,s0_lower_back,gyro,x,0.003811448130626458,0.0035450146308580255,4.288801210350357e-05,0.026886098086833954,360
2,15,s2_gx,s2_right_calf,gyro,x,0.0034764150634752394,0.004859885034479609,6.274179031606764e-05,0.049202874302864075,360
2,5,s0_gz,s0_lower_back,gyro,z,0.002934178541969838,0.003012483267604187,3.7821981095476076e-05,0.017228098586201668,360
2,16,s2_gy,s2_right_calf,gyro,y,0.002701930653549627,0.0028348624793210764,4.519917274592444e-05,0.010334708727896214,360
2,17,s2_gz,s2_right_calf,gyro,z,0.0023951656354155504,0.0029866955148242745,5.3874580771662295e-05,0.014278899878263474,360
3,6,s1_ax,s1_right_thigh,acc,x,0.2972153672043027,0.32919811912183056,0.003498147241771221,0.9313845634460449,360
3,1,s0_ay,s0_lower_back,acc,y,0.2420575421199222,0.311567828971695,0.00024553373805247247,0.7939267754554749,360
3,0,s0_ax,s0_lower_back,acc,x,0.17964440537600443,0.2667005579596295,0.0005041822441853583,0.9630281329154968,360
3,8,s1_az,s1_right_thigh,acc,z,0.0920654915549676,0.152055443197885,0.0002063764404738322,0.7390618324279785,360
3,12,s2_ax,s2_right_calf,acc,x,0.05758930347898664,0.11635242349478205,0.00024320775992237031,0.6927670240402222,360
3,13,s2_ay,s2_right_calf,acc,y,0.0520944660519793,0.08440379411152645,0.0001879082847153768,0.5445832014083862,360
3,14,s2_az,s2_right_calf,acc,z,0.022700009556703864,0.06494659190243324,0.0002155103866243735,0.48410582542419434,360
3,7,s1_ay,s1_right_thigh,acc,y,0.02061306292065031,0.037733764532165474,0.00022452764096669853,0.26796162128448486,360
3,2,s0_az,s0_lower_back,acc,z,0.009314053900400014,0.012840936879970209,5.934853834332898e-05,0.07355548441410065,360
3,9,s1_gx,s1_right_thigh,gyro,x,0.005196388899397182,0.007991846547733229,7.784987974446267e-05,0.04668590426445007,360
3,10,s1_gy,s1_right_thigh,gyro,y,0.0037297823654727025,0.005055111320570864,0.00013103453966323286,0.03151034191250801,360
3,4,s0_gy,s0_lower_back,gyro,y,0.003251644100722236,0.004068244378185953,7.851764530641958e-05,0.01729285717010498,360
3,3,s0_gx,s0_lower_back,gyro,x,0.002928137350611198,0.002537009280995563,3.6589943192666396e-05,0.012340263463556767,360
3,11,s1_gz,s1_right_thigh,gyro,z,0.0027744156584655383,0.003399540857251163,3.8057438359828666e-05,0.015899861231446266,360
3,15,s2_gx,s2_right_calf,gyro,x,0.0024887532726602835,0.0027414924712010767,6.167564424686134e-05,0.014175795018672943,360
3,16,s2_gy,s2_right_calf,gyro,y,0.0022329365648753687,0.0025732501349655865,5.12802907906007e-05,0.009388288483023643,360
3,5,s0_gz,s0_lower_back,gyro,z,0.0021859938362063583,0.0020320621071709313,3.514940544846468e-05,0.011396953836083412,360
3,17,s2_gz,s2_right_calf,gyro,z,0.0019182469048246275,0.0027951070719503617,5.019176023779437e-05,0.01629318855702877,360
4,1,s0_ay,s0_lower_back,acc,y,0.2708724751906023,0.3415729571843599,0.00024525035405531526,0.8700236678123474,360
4,6,s1_ax,s1_right_thigh,acc,x,0.2546011065443357,0.3234919304891323,0.0009814755758270621,0.8836312890052795,360
4,12,s2_ax,s2_right_calf,acc,x,0.13420295244391633,0.23773378872419704,0.00031121837673708797,0.9241822361946106,360
4,8,s1_az,s1_right_thigh,acc,z,0.08166474272196259,0.11665862598362481,0.0002811257727444172,0.40693244338035583,360
4,13,s2_ay,s2_right_calf,acc,y,0.07307077305805353,0.13607987286899395,0.00017860857769846916,0.7598509788513184,360
4,14,s2_az,s2_right_calf,acc,z,0.07201703151270825,0.20348145597568756,0.00017377044423483312,0.9753940105438232,360
4,0,s0_ax,s0_lower_back,acc,x,0.05621344957083541,0.06831720463340192,0.0008245761855505407,0.3748311698436737,360
4,7,s1_ay,s1_right_thigh,acc,y,0.015372073139587883,0.01622307469733216,0.0002740425115916878,0.0885624811053276,360
4,2,s0_az,s0_lower_back,acc,z,0.01044568542856723,0.010752418703310663,0.0001655954692978412,0.05703497678041458,360
4,9,s1_gx,s1_right_thigh,gyro,x,0.004707599973011788,0.0050512185410503145,0.0002702947531361133,0.04702796787023544,360
4,3,s0_gx,s0_lower_back,gyro,x,0.004021283112484121,0.009455668238239541,0.00013278707046993077,0.1716785430908203,360
4,4,s0_gy,s0_lower_back,gyro,y,0.003726968899011101,0.004302084458598498,8.423254621447995e-05,0.017687886953353882,360
4,15,s2_gx,s2_right_calf,gyro,x,0.003539769883172994,0.004551086224632782,0.0001083702445612289,0.020022662356495857,360
4,10,s1_gy,s1_right_thigh,gyro,y,0.003483848283536241,0.0033919532439043065,0.0001320488954661414,0.016990315169095993,360
4,11,s1_gz,s1_right_thigh,gyro,z,0.0031811020170102386,0.0038136976471130272,8.871295722201467e-05,0.016792355105280876,360
4,16,s2_gy,s2_right_calf,gyro,y,0.0030578962973069994,0.0036649853982188303,0.00013701632269658148,0.015517901629209518,360
4,17,s2_gz,s2_right_calf,gyro,z,0.0030124551565273174,0.004724145465504,0.00017500629473943263,0.0199595857411623,360
4,5,s0_gz,s0_lower_back,gyro,z,0.0028087873906163926,0.0031649521738508486,7.4329502240289e-05,0.015616903081536293,360
