feature_name,channel_index,channel_name,statistic,used_by,source,uses_metadata,uses_label,uses_subject_id,allowed
s0_gy_std,4,s0_gy,std,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s0_gz_std,5,s0_gz,std,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s1_ax_std,6,s1_ax,std,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s1_ay_std,7,s1_ay,std,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s1_az_std,8,s1_az,std,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s1_gx_std,9,s1_gx,std,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s1_gy_std,10,s1_gy,std,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s1_gz_std,11,s1_gz,std,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s2_ax_std,12,s2_ax,std,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s2_ay_std,13,s2_ay,std,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s2_az_std,14,s2_az,std,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s2_gx_std,15,s2_gx,std,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s2_gy_std,16,s2_gy,std,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s2_gz_std,17,s2_gz,std,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s0_ax_min,0,s0_ax,min,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s0_ay_min,1,s0_ay,min,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s0_az_min,2,s0_az,min,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s0_gx_min,3,s0_gx,min,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
