fold_id,model_name,scaler_fit_n_windows,scaler_fit_subjects,scaler_fit_indices_hash,val_indices_used_in_scaler,test_indices_used_in_scaler,scaler_leakage_check_passed,seed
5,channel_shared_attentionpool_v2,400,1|2|3|4|6,397e73422065df4cd2ae29af9843754cedeaa816c3a917209a3fca6b4f9c8142,False,False,True,123
5,channel_shared_posres_attention_v3,400,1|2|3|4|6,397e73422065df4cd2ae29af9843754cedeaa816c3a917209a3fca6b4f9c8142,False,False,True,123
5,modality_shared_sensorattn_v3,400,1|2|3|4|6,397e73422065df4cd2ae29af9843754cedeaa816c3a917209a3fca6b4f9c8142,False,False,True,123
6,all_channel_conv1d_v1,400,1|2|3|4|5,7dd00dfe27a74b4e02ea877139508b86a01b055a31f5bb6fc5cb5120980017d0,False,False,True,123
6,all_channel_conv1d_small,400,1|2|3|4|5,7dd00dfe27a74b4e02ea877139508b86a01b055a31f5bb6fc5cb5120980017d0,False,False,True,123
6,cnn2d_baseline_v1,400,1|2|3|4|5,7dd00dfe27a74b4e02ea877139508b86a01b055a31f5bb6fc5cb5120980017d0,False,False,True,123
6,channel_shared_meanpool_v2,400,1|2|3|4|5,7dd00dfe27a74b4e02ea877139508b86a01b055a31f5bb6fc5cb5120980017d0,False,False,True,123
6,channel_shared_attentionpool_v2,400,1|2|3|4|5,7dd00dfe27a74b4e02ea877139508b86a01b055a31f5bb6fc5cb5120980017d0,False,False,True,123
6,channel_shared_posres_attention_v3,400,1|2|3|4|5,7dd00dfe27a74b4e02ea877139508b86a01b055a31f5bb6fc5cb5120980017d0,False,False,True,123
6,modality_shared_sensorattn_v3,400,1|2|3|4|5,7dd00dfe27a74b4e02ea877139508b86a01b055a31f5bb6fc5cb5120980017d0,False,False,True,123
1,all_channel_conv1d_v1,400,2|3|4|5|6,14de0bc409ba5b8c79385a360dbd6ca3e522b0ad6f9ba33398096f674dc3986f,False,False,True,2025
1,all_channel_conv1d_small,400,2|3|4|5|6,14de0bc409ba5b8c79385a360dbd6ca3e522b0ad6f9ba33398096f674dc3986f,False,False,True,2025
1,cnn2d_baseline_v1,400,2|3|4|5|6,14de0bc409ba5b8c79385a360dbd6ca3e522b0ad6f9ba33398096f674dc3986f,False,False,True,2025
1,channel_shared_meanpool_v2,400,2|3|4|5|6,14de0bc409ba5b8c79385a360dbd6ca3e522b0ad6f9ba33398096f674dc3986f,False,False,True,2025
1,channel_shared_attentionpool_v2,400,2|3|4|5|6,14de0bc409ba5b8c79385a360dbd6ca3e522b0ad6f9ba33398096f674dc3986f,False,False,True,2025
1,channel_shared_posres_attention_v3,400,2|3|4|5|6,14de0bc409ba5b8c79385a360dbd6ca3e522b0ad6f9ba33398096f674dc3986f,False,False,True,2025
1,modality_shared_sensorattn_v3,400,2|3|4|5|6,14de0bc409ba5b8c79385a360dbd6ca3e522b0ad6f9ba33398096f674dc3986f,False,False,True,2025
2,all_channel_conv1d_v1,400,1|3|4|5|6,7cce06b779cf63f374ed2e913cabd21acf21ddacc54ea90c95d3e7619a66ee07,False,False,True,2025
2,all_channel_conv1d_small,400,1|3|4|5|6,7cce06b779cf63f374ed2e913cabd21acf21ddacc54ea90c95d3e7619a66ee07,False,False,True,2025
2,cnn2d_baseline_v1,400,1|3|4|5|6,7cce06b779cf63f374ed2e913cabd21acf21ddacc54ea90c95d3e7619a66ee07,False,False,True,2025
2,channel_shared_meanpool_v2,400,1|3|4|5|6,7cce06b779cf63f374ed2e913cabd21acf21ddacc54ea90c95d3e7619a66ee07,False,False,True,2025
2,channel_shared_attentionpool_v2,400,1|3|4|5|6,7cce06b779cf63f374ed2e913cabd21acf21ddacc54ea90c95d3e7619a66ee07,False,False,True,2025
2,channel_shared_posres_attention_v3,400,1|3|4|5|6,7cce06b779cf63f374ed2e913cabd21acf21ddacc54ea90c95d3e7619a66ee07,False,False,True,2025
2,modality_shared_sensorattn_v3,400,1|3|4|5|6,7cce06b779cf63f374ed2e913cabd21acf21ddacc54ea90c95d3e7619a66ee07,False,False,True,2025
3,all_channel_conv1d_v1,400,1|2|4|5|6,09186883de218814e3415d88ea8b799d3b9a6af7d6ca977d3fcad8bec7b03756,False,False,True,2025
3,all_channel_conv1d_small,400,1|2|4|5|6,09186883de218814e3415d88ea8b799d3b9a6af7d6ca977d3fcad8bec7b03756,False,False,True,2025
3,cnn2d_baseline_v1,400,1|2|4|5|6,09186883de218814e3415d88ea8b799d3b9a6af7d6ca977d3fcad8bec7b03756,False,False,True,2025
3,channel_shared_meanpool_v2,400,1|2|4|5|6,09186883de218814e3415d88ea8b799d3b9a6af7d6ca977d3fcad8bec7b03756,False,False,True,2025
3,channel_shared_attentionpool_v2,400,1|2|4|5|6,09186883de218814e3415d88ea8b799d3b9a6af7d6ca977d3fcad8bec7b03756,False,False,True,2025
3,channel_shared_posres_attention_v3,400,1|2|4|5|6,09186883de218814e3415d88ea8b799d3b9a6af7d6ca977d3fcad8bec7b03756,False,False,True,2025
3,modality_shared_sensorattn_v3,400,1|2|4|5|6,09186883de218814e3415d88ea8b799d3b9a6af7d6ca977d3fcad8bec7b03756,False,False,True,2025
4,all_channel_conv1d_v1,400,1|2|3|5|6,2337c1c06efa57eef8a5e1aa4925d6188a44f01572aeae3cdf1d3286b709c100,False,False,True,2025
4,all_channel_conv1d_small,400,1|2|3|5|6,2337c1c06efa57eef8a5e1aa4925d6188a44f01572aeae3cdf1d3286b709c100,False,False,True,2025
4,cnn2d_baseline_v1,400,1|2|3|5|6,2337c1c06efa57eef8a5e1aa4925d6188a44f01572aeae3cdf1d3286b709c100,False,False,True,2025
4,channel_shared_meanpool_v2,400,1|2|3|5|6,2337c1c06efa57eef8a5e1aa4925d6188a44f01572aeae3cdf1d3286b709c100,False,False,True,2025
4,channel_shared_attentionpool_v2,400,1|2|3|5|6,2337c1c06efa57eef8a5e1aa4925d6188a44f01572aeae3cdf1d3286b709c100,False,False,True,2025
4,channel_shared_posres_attention_v3,400,1|2|3|5|6,2337c1c06efa57eef8a5e1aa4925d6188a44f01572aeae3cdf1d3286b709c100,False,False,True,2025
4,modality_shared_sensorattn_v3,400,1|2|3|5|6,2337c1c06efa57eef8a5e1aa4925d6188a44f01572aeae3cdf1d3286b709c100,False,False,True,2025
5,all_channel_conv1d_v1,400,1|2|3|4|6,02bcb9de09f9a4e15a040711b8c89fc659ed9925c629cc6b2e1893a0d911ed10,False,False,True,2025
5,all_channel_conv1d_small,400,1|2|3|4|6,02bcb9de09f9a4e15a040711b8c89fc659ed9925c629cc6b2e1893a0d911ed10,False,False,True,2025
5,cnn2d_baseline_v1,400,1|2|3|4|6,02bcb9de09f9a4e15a040711b8c89fc659ed9925c629cc6b2e1893a0d911ed10,False,False,True,2025
5,channel_shared_meanpool_v2,400,1|2|3|4|6,02bcb9de09f9a4e15a040711b8c89fc659ed9925c629cc6b2e1893a0d911ed10,False,False,True,2025
5,channel_shared_attentionpool_v2,400,1|2|3|4|6,02bcb9de09f9a4e15a040711b8c89fc659ed9925c629cc6b2e1893a0d911ed10,False,False,True,2025
5,channel_shared_posres_attention_v3,400,1|2|3|4|6,02bcb9de09f9a4e15a040711b8c89fc659ed9925c629cc6b2e1893a0d911ed10,False,False,True,2025
5,modality_shared_sensorattn_v3,400,1|2|3|4|6,02bcb9de09f9a4e15a040711b8c89fc659ed9925c629cc6b2e1893a0d911ed10,False,False,True,2025
6,all_channel_conv1d_v1,400,1|2|3|4|5,6fc8629f36d25f3434f3682455fc95a0866cda3b656deddceeb7737ba8b0dc0f,False,False,True,2025
6,all_channel_conv1d_small,400,1|2|3|4|5,6fc8629f36d25f3434f3682455fc95a0866cda3b656deddceeb7737ba8b0dc0f,False,False,True,2025
6,cnn2d_baseline_v1,400,1|2|3|4|5,6fc8629f36d25f3434f3682455fc95a0866cda3b656deddceeb7737ba8b0dc0f,False,False,True,2025
6,channel_shared_meanpool_v2,400,1|2|3|4|5,6fc8629f36d25f3434f3682455fc95a0866cda3b656deddceeb7737ba8b0dc0f,False,False,True,2025
6,channel_shared_attentionpool_v2,400,1|2|3|4|5,6fc8629f36d25f3434f3682455fc95a0866cda3b656deddceeb7737ba8b0dc0f,False,False,True,2025
6,channel_shared_posres_attention_v3,400,1|2|3|4|5,6fc8629f36d25f3434f3682455fc95a0866cda3b656deddceeb7737ba8b0dc0f,False,False,True,2025
6,modality_shared_sensorattn_v3,400,1|2|3|4|5,6fc8629f36d25f3434f3682455fc95a0866cda3b656deddceeb7737ba8b0dc0f,False,False,True,2025
